epoch,stage,train_loss,train_g_loss,train_d_loss,val_psnr,val_ssim,val_lpips,learning_rate_g,learning_rate_d,batch_time,epoch_time,memory_usage,is_best_psnr,is_best_ssim,is_best_lpips
0,pretrain,0.04846385493253668,0,0,37.08977121946547,0,0,0.0001,0,0.10083207829793295,187.0593798160553,0.27837467193603516,True,False,False
1,pretrain,0.027950604467342297,0,0,38.91743307113647,0,0,0.0001,0,0.08801445929209391,165.32571983337402,0.27861881256103516,True,False,False
2,pretrain,0.02414933569605152,0,0,38.70717161009047,0,0,0.0001,0,0.08893594217300416,168.61300539970398,0.27861881256103516,False,False,False
3,pretrain,0.022522652466470998,0,0,40.60160872226291,0,0,0.0001,0,0.0948796345392863,180.3556613922119,0.27861881256103516,True,False,False
4,pretrain,0.021535948866357405,0,0,40.4678240193261,0,0,0.0001,0,0.0911758246421814,172.42313694953918,0.27861881256103516,False,False,False
5,pretrain,0.02072602784074843,0,0,40.75389630847507,0,0,0.0001,0,0.09220018100738525,172.57113003730774,0.27861881256103516,True,False,False
6,pretrain,0.02013767135577897,0,0,41.1419829925961,0,0,0.0001,0,0.09138375441233317,171.61840534210205,0.27861881256103516,True,False,False
7,pretrain,0.019632888284201424,0,0,41.57696219423082,0,0,0.0001,0,0.08976391077041626,170.33121275901794,0.27861881256103516,True,False,False
8,pretrain,0.019076945174485445,0,0,41.68777527194553,0,0,0.0001,0,0.08960928757985433,168.21348881721497,0.27861881256103516,True,False,False
9,pretrain,0.018943359427774947,0,0,40.694296538670855,0,0,0.0001,0,0.0895059692064921,170.1686408519745,0.27861881256103516,False,False,False
10,pretrain,0.01842609451462825,0,0,41.60381236712138,0,0,0.0001,0,0.09011317729949951,169.97275376319885,0.27861881256103516,False,False,False
11,pretrain,0.01819136523269117,0,0,42.3740967640347,0,0,0.0001,0,0.0899526580174764,169.91969513893127,0.27861881256103516,True,False,False
12,pretrain,0.018069256369645396,0,0,42.1700755988227,0,0,0.0001,0,0.08858167616526286,166.5476427078247,0.27861881256103516,False,False,False
13,pretrain,0.017879199858133993,0,0,42.0109980591668,0,0,0.0001,0,0.08945628086725871,169.79936122894287,0.27861881256103516,False,False,False
14,pretrain,0.01760635963268578,0,0,42.63031650246514,0,0,0.0001,0,0.09046034797032675,169.59170722961426,0.27861881256103516,True,False,False
15,pretrain,0.017420255701368053,0,0,42.57669518152873,0,0,0.0001,0,0.08960245911280314,167.9154567718506,0.2794685363769531,False,False,False
16,pretrain,0.01736539501634737,0,0,42.41897360102335,0,0,0.0001,0,0.08946983861923218,169.07131719589233,0.27861881256103516,False,False,False
17,pretrain,0.017237764048700532,0,0,39.07732949177424,0,0,0.0001,0,0.09139200750986735,170.60365200042725,0.27861881256103516,False,False,False
18,pretrain,0.017038535223032038,0,0,42.76202565479279,0,0,0.0001,0,0.08839653603235881,167.27140974998474,0.27861881256103516,True,False,False
19,pretrain,0.016946121818075578,0,0,42.43095748625861,0,0,0.0001,0,0.09057899332046508,168.9957618713379,0.27861881256103516,False,False,False
0,gan,0,0.021524002861852447,0.5661220721701781,41.92381579505073,0.9633872501055399,0.06548004672769457,0.0001,0.0001,0.1955880937576294,328.16875195503235,0.5751347541809082,True,True,True
1,gan,0,0.0221016083167245,0.48286153392245373,41.846230107625324,0.9601244504584207,0.045974247831437325,0.0001,0.0001,0.19574055655797323,327.4917402267456,0.5745854377746582,False,False,True
2,gan,0,0.022379682353387276,0.4653881692302724,42.25795663748847,0.9623254880507787,0.050809423551894724,0.0001,0.0001,0.19584281984965007,329.38470816612244,0.5742192268371582,True,False,False
3,gan,0,0.02244076208770275,0.4341133595332503,40.69352451154921,0.954449872288439,0.05421560138903765,0.0001,0.0001,0.19620594882965087,329.1041736602783,0.5744633674621582,False,False,False
4,gan,0,0.02246419618775447,0.42049066214511793,42.40270145077176,0.9663752744264072,0.062381019504430396,0.0001,0.0001,0.1948082078297933,326.386093378067,0.5747685432434082,True,True,False
5,gan,0,0.022692530091231067,0.4219569808753828,41.440991341696844,0.9571199170086119,0.03707378836348653,0.0001,0.0001,0.1959605065981547,329.14153718948364,0.5744633674621582,False,False,True
